epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5879.66,1.02924,2.68702,1.16074,0.65108,0.80931,0.79052,0.56892,0.98082,2.231,1.10086,0.00159082,0.00159082,0.00159082
43,6003.74,1.02829,2.65748,1.16064,0.65152,0.85879,0.81409,0.56853,1.0064,2.10139,1.11897,0.00158084,0.00158084,0.00158084
44,6129.18,1.03025,2.64512,1.16504,0.66289,0.85897,0.80074,0.56371,0.99997,2.10169,1.11232,0.00157086,0.00157086,0.00157086
45,6267.54,1.02658,2.65555,1.16502,0.66189,0.8098,0.80014,0.56444,1.00985,2.21302,1.13356,0.00156088,0.00156088,0.00156088
46,6421.48,1.03179,2.64861,1.16933,0.64415,0.85653,0.78516,0.55441,1.00942,2.16644,1.11313,0.0015509,0.0015509,0.0015509
47,6568.47,1.01004,2.57887,1.1543,0.67622,0.83722,0.81351,0.59221,0.98217,2.09885,1.10312,0.00154092,0.00154092,0.00154092
48,6722.18,1.00625,2.58984,1.15478,0.70618,0.78279,0.81769,0.58928,0.97998,2.05388,1.10798,0.00153094,0.00153094,0.00153094
49,6859.38,0.98283,2.54893,1.13807,0.63913,0.87112,0.78755,0.55967,0.98502,2.14377,1.08983,0.00152096,0.00152096,0.00152096
50,6985.96,0.99413,2.55445,1.13573,0.66291,0.89028,0.82412,0.59022,0.97012,2.04586,1.09994,0.00151098,0.00151098,0.00151098
51,7109.51,0.99955,2.56286,1.14822,0.67003,0.85718,0.81857,0.58778,0.9892,2.06904,1.10676,0.001501,0.001501,0.001501
52,7233.36,0.99469,2.5595,1.14568,0.67095,0.87461,0.83217,0.60303,0.97452,2.01619,1.10371,0.00149102,0.00149102,0.00149102
53,7367.75,0.99674,2.58426,1.1456,0.68534,0.86223,0.82618,0.59795,0.95801,2.00965,1.09649,0.00148104,0.00148104,0.00148104
54,7503.56,1.00159,2.5179,1.1492,0.67281,0.85393,0.80426,0.5784,0.99452,2.14262,1.11671,0.00147106,0.00147106,0.00147106
55,7629.89,0.97952,2.51189,1.13381,0.692,0.83382,0.82261,0.59883,0.97239,2.00777,1.10318,0.00146108,0.00146108,0.00146108
56,7757.84,0.98286,2.51135,1.14002,0.67345,0.87632,0.80628,0.58869,0.95955,1.998,1.10257,0.0014511,0.0014511,0.0014511
57,7883.13,0.98712,2.48904,1.13677,0.67644,0.84058,0.82398,0.59834,0.9725,2.05405,1.09261,0.00144112,0.00144112,0.00144112
58,8008.59,0.98976,2.49523,1.13746,0.71091,0.83679,0.83324,0.6091,0.96824,1.99497,1.1043,0.00143114,0.00143114,0.00143114
59,8138.13,0.97669,2.48828,1.13137,0.67541,0.8314,0.81752,0.58581,0.98528,2.00274,1.10146,0.00142116,0.00142116,0.00142116
60,8269.79,0.96592,2.44334,1.12904,0.69957,0.84316,0.82454,0.60266,0.96089,2.00683,1.08864,0.00141118,0.00141118,0.00141118
61,8418.8,0.9623,2.46106,1.1281,0.64897,0.89328,0.79698,0.5826,0.97472,1.99195,1.09615,0.0014012,0.0014012,0.0014012
62,8543.22,0.97449,2.45173,1.13421,0.69512,0.85283,0.82709,0.60229,0.95125,1.99655,1.09071,0.00139122,0.00139122,0.00139122
63,8681.36,0.96826,2.45352,1.13341,0.67174,0.87005,0.83274,0.60692,0.95926,1.99304,1.09416,0.00138124,0.00138124,0.00138124
64,8810.55,0.95335,2.4274,1.12199,0.67018,0.87195,0.82162,0.59862,0.95268,1.97922,1.0983,0.00137126,0.00137126,0.00137126
65,8939.44,0.95752,2.40938,1.12523,0.68569,0.87196,0.82459,0.60262,0.96469,2.00559,1.09335,0.00136128,0.00136128,0.00136128
66,9078.43,0.95233,2.41244,1.12464,0.67248,0.87113,0.82885,0.6058,0.94398,1.95972,1.08546,0.0013513,0.0013513,0.0013513
67,9218.35,0.95813,2.43374,1.13361,0.66397,0.88749,0.82375,0.59974,0.95097,1.97764,1.09463,0.00134132,0.00134132,0.00134132
68,9343.73,0.95229,2.41586,1.12382,0.69467,0.88066,0.83862,0.61536,0.94626,1.92416,1.08683,0.00133134,0.00133134,0.00133134
69,9472.51,0.95013,2.39142,1.11796,0.70159,0.87264,0.83024,0.60938,0.9381,1.94636,1.07489,0.00132136,0.00132136,0.00132136
70,9604.58,0.94179,2.38783,1.11946,0.69135,0.86867,0.83956,0.61334,0.94959,1.91823,1.08543,0.00131138,0.00131138,0.00131138
71,9748.5,0.9405,2.33686,1.11591,0.68353,0.87388,0.8273,0.60843,0.93935,2.00513,1.08871,0.0013014,0.0013014,0.0013014
72,9892.78,0.93433,2.34252,1.11775,0.70955,0.85501,0.83972,0.61481,0.93647,1.93557,1.08708,0.00129142,0.00129142,0.00129142
73,10021,0.94005,2.29825,1.10994,0.70658,0.84911,0.8285,0.60845,0.94474,1.982,1.08393,0.00128144,0.00128144,0.00128144
74,10147.3,0.93826,2.33051,1.11588,0.68731,0.87118,0.82198,0.60454,0.9393,2.02357,1.08866,0.00127146,0.00127146,0.00127146
75,10319,0.9269,2.30925,1.10483,0.68017,0.87727,0.83545,0.61385,0.9308,1.99183,1.07843,0.00126148,0.00126148,0.00126148
76,10463.1,0.92464,2.32549,1.11015,0.69086,0.86903,0.83711,0.61096,0.94992,1.95582,1.08105,0.0012515,0.0012515,0.0012515
77,10608,0.92363,2.33459,1.10328,0.69503,0.86983,0.8374,0.61105,0.93434,1.94221,1.0664,0.00124152,0.00124152,0.00124152
78,10738.3,0.91712,2.28588,1.10676,0.6996,0.86536,0.83796,0.61356,0.93322,1.93959,1.07836,0.00123154,0.00123154,0.00123154
79,10862.7,0.90689,2.28246,1.10541,0.73377,0.84939,0.84571,0.62136,0.92562,1.90232,1.0903,0.00122156,0.00122156,0.00122156
80,10998.3,0.91327,2.29576,1.10591,0.70804,0.87755,0.83666,0.61584,0.92317,1.91544,1.06954,0.00121158,0.00121158,0.00121158
81,11149.6,0.92696,2.29634,1.10857,0.72171,0.83687,0.84399,0.6214,0.91799,1.88181,1.0665,0.0012016,0.0012016,0.0012016
82,11279.1,0.9209,2.26453,1.10188,0.73022,0.846,0.8427,0.62715,0.9249,1.92733,1.07274,0.00119162,0.00119162,0.00119162
83,11412.3,0.90664,2.2398,1.09691,0.71591,0.86493,0.84682,0.62123,0.92158,1.91228,1.06833,0.00118164,0.00118164,0.00118164
84,11554.5,0.89608,2.2413,1.10006,0.69983,0.89165,0.84177,0.62292,0.91323,1.90676,1.07087,0.00117166,0.00117166,0.00117166
85,11693.4,0.88914,2.25087,1.08918,0.70003,0.87556,0.83643,0.61798,0.91329,1.90636,1.06767,0.00116168,0.00116168,0.00116168
86,11822.5,0.90346,2.26296,1.09408,0.70846,0.87982,0.84345,0.62522,0.91716,1.9378,1.06508,0.0011517,0.0011517,0.0011517
87,11958,0.91055,2.25646,1.0981,0.71428,0.87814,0.83878,0.62307,0.91419,1.92101,1.06707,0.00114172,0.00114172,0.00114172
88,12089.4,0.89473,2.22951,1.09298,0.74016,0.83987,0.84227,0.62977,0.91678,1.89106,1.06604,0.00113174,0.00113174,0.00113174
89,12214,0.89109,2.21897,1.08879,0.70507,0.873,0.83865,0.624,0.91159,1.94736,1.06562,0.00112176,0.00112176,0.00112176
90,12340.1,0.88277,2.20826,1.08128,0.74019,0.84583,0.85578,0.63721,0.91194,1.84967,1.06697,0.00111178,0.00111178,0.00111178
91,12465.7,0.88811,2.1835,1.08771,0.7012,0.86681,0.84063,0.62927,0.90783,1.93845,1.06586,0.0011018,0.0011018,0.0011018
92,12616.5,0.89122,2.19096,1.09149,0.70955,0.86104,0.83942,0.62391,0.90596,1.94672,1.07289,0.00109182,0.00109182,0.00109182
93,12768.2,0.87897,2.21014,1.08022,0.7133,0.83999,0.83612,0.62443,0.89931,1.94417,1.06553,0.00108184,0.00108184,0.00108184
94,12917,0.87755,2.16326,1.07917,0.6844,0.88361,0.83977,0.62986,0.9004,1.91945,1.05996,0.00107186,0.00107186,0.00107186
95,13053,0.89336,2.18426,1.08641,0.71191,0.87758,0.84773,0.63683,0.90782,1.91391,1.06813,0.00106188,0.00106188,0.00106188
96,13183.7,0.87503,2.16817,1.08146,0.71482,0.8637,0.84774,0.63397,0.90051,1.92007,1.06824,0.0010519,0.0010519,0.0010519
97,13311.9,0.87356,2.16425,1.07849,0.71942,0.86812,0.85085,0.63839,0.89535,1.90297,1.0596,0.00104192,0.00104192,0.00104192
98,13448.8,0.87687,2.16642,1.08168,0.73635,0.85715,0.84805,0.64039,0.90099,1.85277,1.06385,0.00103194,0.00103194,0.00103194
